wave, transm
3226.9311228374113, 0.2934624282846614
3208.313183764417, 0.268731101403496
3261.3914930872143, 0.3306572322117166
3287.836644251814, 0.3545297481429902
3314.306863015561, 0.38029307726702044
3353.821852297894, 0.404581082408066
3399.88356572939, 0.42996727325058626
3452.455567846173, 0.4537033748051098
3507.174347494504, 0.4751305506037058
3567.348609148925, 0.49746372023689933
3623.1112648372914, 0.5155103304160598
3682.20623518079, 0.5385527423789226
3755.662753707338, 0.560900115596948
3834.3528622649737, 0.5838402167772481
3937.939906256209, 0.6124155059175513
4016.5978787347062, 0.6329316285571376
4109.660684727338, 0.6560176631393786
4222.328466509353, 0.6797434211862146
4344.153063330721, 0.7043580463175998
4468.545923129751, 0.7256083331441462
4628.904958029633, 0.7498205733405956
4793.550989609115, 0.7689202725270854
4937.485646103168, 0.7860447739864829
5103.121993590788, 0.7977239433190136
5246.949529821047, 0.8067685163093645
5397.265493458267, 0.8125140350180358
5547.5770848398215, 0.8179297607279704
5731.7076365651155, 0.8121596574503025
5866.648716117389, 0.8270809896837585
5922.234569563323, 0.81984250674857
6014.765172887421, 0.8283615255192571
6157.245351688893, 0.8413579662539656
6256.692094076092, 0.8474957842830773
6296.097352826413, 0.819778158593103
6312.293920468419, 0.8414621178757808
6376.153760145674, 0.8583185963887452
6470.871232419946, 0.8651374735996784
6586.973263139862, 0.8769121975387559
6763.575713641659, 0.8945624106912152
6861.9389787810815, 0.9004036591738337
6892.143820409319, 0.7787117134179595
6908.532063408034, 0.8148534710353437
6933.130400852499, 0.8702709239893119
6961.654198164087, 0.8897463086153472
7083.688226031812, 0.8973105607590964
7201.152153665624, 0.8886332572446112
7235.712648570157, 0.867685405588497
7213.701620488287, 0.8497978830547499
7327.32342845642, 0.8797895581716725
7384.292670556357, 0.9067286136129518
7502.0934180283675, 0.9234571493225674
7586.136395271096, 0.925580217277708
7626.164598930726, 0.344850436175529
7652.615798156723, 0.540026606364991
7697.2442103773965, 0.906283985295762
7721.411278269264, 0.9291713919966412
7800.512983936284, 0.9323102175147884
7933.258839444532, 0.9266658852943659
8076.96971594409, 0.9269109814547906
8174.292227336102, 0.8893344073238242
8239.675459702752, 0.8817761862242891
8293.881676976824, 0.9097957516526296
8351.256152984577, 0.9220467845666067
8482.116837591902, 0.9384439925265177
8612.84820942562, 0.945087322705613
8808.851926142377, 0.9480117371375917
8919.814806449467, 0.9416815853857056
8977.603647308217, 0.8819672280777017
9017.056824897716, 0.857864051971404
9065.438879520629, 0.9072533149568389
9088.663543575341, 0.8590565465120791
9120.641382253145, 0.8710992353522378
9144.185505235704, 0.8469987974653217
9192.232127984375, 0.8710869133650208
9216.590871232953, 0.9084321184006061
9272.048941107747, 0.89155510324228
9297.496809181575, 0.8524073701572532
9356.002747346782, 0.6240707738436158
9388.028504863763, 0.6397279122674511
9394.723532856835, 0.7954022755608623
9414.288028733048, 0.8204462841222069
9444.57273509325, 0.7047784210057937
9476.68933535874, 0.7369487151234293
9573.538304266374, 0.8324670672073129
9525.010411905161, 0.7685181499274895
9567.08624590471, 0.7888822679758398
9637.07868501578, 0.8252272151624336
9663.277531993368, 0.8508603411813616
9683.05105823864, 0.8642135847472519
9709.867401726447, 0.9155761327671306
9765.197688030103, 0.8890605853856669
9797.271364386264, 0.9083321733931787
9821.406486385347, 0.9288099470382736
9912.851569287837, 0.9528225925066617
10050.077277698296, 0.9566125886387334
10193.814387731843, 0.9588364427915776
10331.035087922177, 0.9622486760341875
10546.546908466815, 0.9585059002632985
10690.15165839705, 0.950746020908935
10833.75163859383, 0.9426263673741316
10944.545193363345, 0.9235242322166285
10990.123772543851, 0.9124682966987556
